TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,AgeGroup,Target
-1.1118611025985952,1,36,0,1.4240042802566286,0,-0.5379762900168825,0.0,0.003803455165671293,2,1
0.5471470312062006,1,15,0,1.3113497958592506,0,0.31188107325392866,0.0,2.2169538334276475,2,0
-0.597873217432509,1,23,2,-1.4486850718765125,3,-0.8920835247130539,0.0,-1.0174139073208646,1,1
-0.3312133707701395,1,33,2,-1.0543943764856891,3,-1.3311764957363064,0.0,0.8885952121475156,1,1
-0.7542684616354519,1,28,0,-1.5050123140752014,3,0.7509740442771811,0.0,-1.1046094778116307,1,1
-1.1439738929284906,0,39,0,-0.4347947123001097,0,0.28355249447823494,0.0,2.1037713363747317,0,1
-0.39113281406757633,0,16,1,1.2550225536605615,2,2.4365244814309563,0.0,-0.5889764356069229,2,0
-0.6897680211440214,0,11,1,0.3537866784815369,1,-0.46715484307764826,0.0,1.0232470621013778,0,0
2.561503117349083,1,26,0,0.579095647276293,0,0.01443099610914474,0.0,-1.04312952351016,0,1
-1.0949572229527587,0,0,2,0.41011392068022595,1,-0.8495906565495133,0.0,0.6404383641314961,0,0
-0.3059262662592946,1,22,2,-1.3360305874791343,3,0.7651383336650279,0.0,-0.9133791769904076,1,1
1.088987379311768,0,23,1,-1.1670488608830674,3,-0.11304760838147694,0.0,-0.8900336872658566,1,1
2.4048330133145006,1,22,0,-1.0543943764856891,3,0.0569238642726853,0.0,-1.2561312019870166,1,1
-0.411426631636968,1,21,2,-1.5050123140752014,3,0.21273104753900068,0.0,-1.2279149232101882,1,0
0.9558177908823728,1,10,0,-0.49112195449879875,1,0.14190960059976643,0.0,-0.41766697093592225,0,0
1.369710887359698,0,2,1,-1.4486850718765125,3,0.5526739928473252,0.0,-1.0151333644697984,1,0
1.0817035937733182,1,8,2,-0.3221402279027316,1,1.629159986323686,0.0,0.003230120038130573,0,0
-1.0908343254781645,0,0,1,0.8044046160710493,2,-0.1838690553207112,0.0,0.7297276316505137,2,0
-0.8489576736353003,0,8,2,-1.5050123140752014,3,0.7084811761136406,0.0,0.3765685502763121,1,0
-0.9046625995142631,1,20,1,1.4803315224553177,2,-1.1470407336942972,0.0,0.16727563340573512,2,0
-0.7834952237331314,1,19,1,-0.3784674701014207,0,-0.3680048173627203,0.0,1.036313472039305,0,0
-0.5096890214481317,1,33,2,-1.3360305874791343,3,-0.32551194919917975,0.0,-0.8104476048741026,1,1
